feature,importance
UST,0.135605175831859
OZONE,0.1067007260389568
PRE1960,0.08216823406153502
OVER64PCT,0.07373237153605838
ACSTOTPOP,0.07149404229139279
PM25,0.06850637666397233
PRMP,0.0594196076400506
LOWINCPCT,0.05694850819212269
PTRAF,0.05389520648877957
DSLPM,0.05213212718281903
LESSHSPCT,0.05054547204762068
PTSDF,0.04971850808456437
LINGISOPCT,0.048218003084224394
UNDER5PCT,0.04311910359576419
PNPL,0.023963694865066113
PWDIS,0.023832842395214004
